n,strategy_name,dataset_source,candidate_family,selection_bucket,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm
12,N12_A01_raster_left_to_right,probe60_run08,raster,,0,11,5.5,0.0,1.0,1.0,1,1,1,0.0,11,0.09090909090909091,0.09090909090909091,11,0,-0.0,0.5454545454545455,0.8181818181818182,0.8181818181818182,3,0,11,1.0,1.0,0,0.4583333333333333,0.9166666666666666
12,N12_A02_odd_even_interlaced,probe60_run08,odd_even,,0,11,5.5,0.0,1.0,2.6363636363636362,2,9,2,2.012358511016241,29,0.23966942148760328,0.8181818181818182,0,1,0.4394969869215134,0.5454545454545455,0.6363636363636364,0.6363636363636364,2,1,1,0.09090909090909091,0.8,2,0.2847222222222222,0.9166666666666666
12,N12_A03_greedy_maximin_distance,probe60_run08,maximin,,0,10,5.5,0.0,0.9090909090909091,3.272727272727273,2,11,1,3.0178532132177875,36,0.2975206611570248,1.0,4,3,2.1180782093497097,0.5454545454545455,0.6969696969696969,0.5757575757575758,2,1,6,0.5454545454545454,0.6,4,0.2986111111111111,0.9166666666666666
12,N12_A04_method_c_u2_first_engineering,probe60_run08,method_c,,0,11,5.5,0.0,1.0,2.6363636363636362,2,6,2,1.3666633071248098,29,0.23966942148760328,0.5454545454545454,0,1,0.8658566174572235,0.5454545454545455,0.6363636363636364,0.6363636363636364,2,1,1,0.09090909090909091,0.8,2,0.2847222222222222,0.9166666666666666
12,N12_A05_center_out,probe60_run08,center_out,,5,11,5.5,0.45454545454545453,1.0,6.0,6,11,1,3.1622776601683795,66,0.5454545454545454,1.0,1,6,3.459431618637298,0.5454545454545455,0.15151515151515152,0.9393939393939394,0,3,6,0.5454545454545454,0.0,10,0.25,0.5
12,N12_A06_edge_in_alternating,probe60_run08,edge_in,,0,6,5.5,0.0,0.5454545454545454,6.0,6,11,1,3.1622776601683795,66,0.5454545454545454,1.0,1,6,3.459431618637298,0.5454545454545455,0.9393939393939394,0.15151515151515152,3,0,6,0.5454545454545454,0.0,10,0.4583333333333333,0.9166666666666666
12,N12_A07_regular_jump_coprime,probe60_run08,regular_jump,,0,7,5.5,0.0,0.6363636363636364,5.7272727272727275,5,7,5,0.9620913858416693,63,0.5206611570247934,0.6363636363636364,0,4,0.9456603046006402,0.5454545454545455,0.6363636363636364,0.5151515151515151,2,1,11,1.0,0.2,8,0.23611111111111108,0.9166666666666666
12,N12_A08_block_interleaved_quarters,probe60_run08,block_interleaved,,0,11,5.5,0.0,1.0,3.909090909090909,3,8,3,1.928473039599675,43,0.35537190082644626,0.7272727272727273,0,2,0.6840384356390417,0.5454545454545455,0.5151515151515151,0.5151515151515151,1,2,9,0.8181818181818182,0.6,4,0.25,0.9166666666666666
12,N12_A09_center_edge_alternating,probe60_run08,center_edge,,5,9,5.5,0.45454545454545453,0.8181818181818182,4.545454545454546,5,7,1,2.1046976186891317,50,0.4132231404958678,0.6363636363636364,2,5,2.299896391167891,0.5454545454545455,0.393939393939394,0.5757575757575758,1,2,8,0.7272727272727273,0.5,5,0.2708333333333333,0.5
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,graph_pointer_proxy,,0,9,5.5,0.0,0.8181818181818182,5.181818181818182,4,11,1,3.1857119032609513,57,0.47107438016528924,1.0,1,4,2.9139770731827523,0.5454545454545455,0.8787878787878788,0.45454545454545453,3,0,7,0.6363636363636364,0.2,8,0.3333333333333333,0.9166666666666666
12,N12_A11_graph_pointer_policy_diverse_01,probe60_run08,graph_pointer_proxy,,0,7,5.5,0.0,0.6363636363636364,4.454545454545454,5,9,1,2.3496087242400154,49,0.4049586776859504,0.8181818181818182,1,4,2.7321588913645702,0.5454545454545455,0.6969696969696969,0.21212121212121213,2,1,7,0.6363636363636364,0.4,6,0.2916666666666667,0.9166666666666666
12,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,graph_pointer_proxy,,4,6,5.5,0.36363636363636365,0.5454545454545454,6.363636363636363,6,11,1,2.9005556606443306,70,0.5785123966942148,1.0,1,7,3.277613436819116,0.5454545454545455,0.3333333333333333,0.393939393939394,0,3,6,0.5454545454545454,0.0,10,0.2222222222222222,0.5833333333333334
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,graph_pointer_proxy,,1,0,5.5,0.09090909090909091,0.0,5.545454545454546,5,11,1,3.201239429392547,61,0.5041322314049587,1.0,2,5,2.5503407095463886,0.5454545454545455,0.6969696969696969,0.8787878787878788,2,1,11,1.0,0.1,9,0.25,0.8333333333333334
12,N12_A14_graph_pointer_policy_u2first_proxy,probe60_run08,graph_pointer_proxy,,0,11,5.5,0.0,1.0,4.454545454545454,4,9,1,2.4995867427031855,49,0.4049586776859504,0.8181818181818182,1,3,2.9139770731827523,0.5454545454545455,0.5757575757575758,0.8181818181818182,2,1,7,0.6363636363636364,0.2,8,0.3194444444444445,0.9166666666666666
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,graph_pointer_proxy,,0,10,5.5,0.0,0.9090909090909091,3.6363636363636362,4,8,1,2.2672661660618045,40,0.3305785123966942,0.7272727272727273,3,2,2.413088436425758,0.5454545454545455,0.6969696969696969,0.7575757575757577,2,1,6,0.5454545454545454,0.4,6,0.2986111111111111,0.9166666666666666
